OrderDetailID,OrderID,OrderQty,MenuItemID,UnitPrice,LineTotal
1,1,1,30,11.99,11.99
2,1,1,19,7.99,7.99
3,1,1,14,19.49,19.49
4,1,1,10,27.99,27.99
5,1,1,33,5.99,5.99
6,2,1,4,9.99,9.99
7,3,1,34,4.99,4.99
8,3,1,1,15.99,15.99
9,3,1,21,7.49,7.49
10,3,1,3,9.49,9.49
11,3,1,16,20.99,20.99
12,3,1,11,27.99,27.99
13,3,2,25,11.49,22.98
14,4,2,29,10.49,20.98
15,4,1,13,13.49,13.49
16,4,1,1,15.99,15.99
17,4,1,4,9.99,9.99
18,5,2,1,15.99,31.98
19,5,1,27,10.49,10.49
20,5,2,15,15.99,31.98
21,5,1,19,7.99,7.99
22,6,1,26,11.49,11.49
23,6,1,21,7.49,7.49
24,6,1,34,4.99,4.99
25,6,3,18,19.49,58.47
26,6,1,22,5.99,5.99
27,6,1,18,19.49,19.49
28,7,1,2,10.99,10.99
29,8,1,30,11.99,11.99
30,8,1,5,14.99,14.99
31,8,1,33,5.99,5.99
32,8,2,14,19.49,38.98
33,8,1,6,15.99,15.99
34,9,1,9,17.49,17.49
35,9,2,26,11.49,22.98
36,9,1,35,3.99,3.99
37,10,1,19,7.99,7.99
38,10,1,32,4.99,4.99
39,10,1,2,10.99,10.99
40,11,3,35,3.99,11.97
41,12,3,20,5.99,17.97
42,12,1,26,11.49,11.49
43,12,1,28,11.99,11.99
44,12,1,5,14.99,14.99
45,12,1,7,26.99,26.99
46,12,1,4,9.99,9.99
47,13,1,31,3.99,3.99
48,13,1,2,10.99,10.99
49,13,1,9,17.49,17.49
50,13,1,3,9.49,9.49
51,13,1,16,20.99,20.99
52,13,2,8,18.99,37.98
53,13,1,5,14.99,14.99
54,13,1,35,3.99,3.99
55,13,1,17,20.49,20.49
56,13,1,20,5.99,5.99
57,13,1,23,7.99,7.99
58,13,1,29,10.49,10.49
59,14,2,10,27.99,55.98
60,15,2,28,11.99,23.98
61,16,1,33,5.99,5.99
62,17,1,26,11.49,11.49
63,18,1,5,14.99,14.99
64,18,1,14,19.49,19.49
65,18,1,36,2.99,2.99
66,19,1,31,3.99,3.99
67,19,1,9,17.49,17.49
68,19,2,5,14.99,29.98
69,20,2,4,9.99,19.98
70,21,1,19,7.99,7.99
71,21,2,30,11.99,23.98
72,22,1,21,7.49,7.49
73,23,1,20,5.99,5.99
74,23,1,30,11.99,11.99
75,24,1,12,16.99,16.99
76,24,1,36,2.99,2.99
77,25,1,9,17.49,17.49
78,26,2,11,27.99,55.98
79,26,1,18,19.49,19.49
80,26,1,8,18.99,18.99
81,27,1,1,15.99,15.99
82,27,1,7,26.99,26.99
83,27,2,21,7.49,14.98
84,27,1,9,17.49,17.49
85,27,1,22,5.99,5.99
86,28,3,30,11.99,35.97
87,29,2,7,26.99,53.98
88,30,1,33,5.99,5.99
89,31,1,22,5.99,5.99
90,32,1,10,27.99,27.99
91,32,2,21,7.49,14.98
92,32,2,6,15.99,31.98
93,32,1,8,18.99,18.99
94,33,1,7,26.99,26.99
95,34,1,36,2.99,2.99
96,34,1,1,15.99,15.99
97,34,1,10,27.99,27.99
98,34,1,27,10.49,10.49
99,34,3,1,15.99,47.97
100,34,1,27,10.49,10.49
101,34,1,29,10.49,10.49
102,34,1,18,19.49,19.49
103,34,2,26,11.49,22.98
104,35,1,2,10.99,10.99
105,35,1,26,11.49,11.49
106,35,1,27,10.49,10.49
107,36,1,4,9.99,9.99
108,36,1,25,11.49,11.49
109,37,1,36,2.99,2.99
110,37,1,34,4.99,4.99
111,38,2,9,17.49,34.98
112,39,1,2,10.99,10.99
113,39,1,24,5.99,5.99
114,39,3,32,4.99,14.97
115,39,1,20,5.99,5.99
116,39,3,6,15.99,47.97
117,40,1,34,4.99,4.99
118,40,1,22,5.99,5.99
119,41,1,31,3.99,3.99
120,42,2,28,11.99,23.98
121,42,2,15,15.99,31.98
122,42,1,33,5.99,5.99
123,42,1,8,18.99,18.99
124,42,1,31,3.99,3.99
125,42,1,12,16.99,16.99
126,42,1,11,27.99,27.99
127,42,1,30,11.99,11.99
128,42,1,13,13.49,13.49
129,42,1,23,7.99,7.99
130,42,1,14,19.49,19.49
131,42,2,7,26.99,53.98
132,42,1,6,15.99,15.99
133,43,1,35,3.99,3.99
134,43,1,34,4.99,4.99
135,43,1,21,7.49,7.49
136,43,1,26,11.49,11.49
137,44,1,20,5.99,5.99
138,45,1,13,13.49,13.49
139,45,1,26,11.49,11.49
140,46,2,27,10.49,20.98
141,47,2,28,11.99,23.98
142,47,3,29,10.49,31.47
143,48,1,8,18.99,18.99
144,48,2,2,10.99,21.98
145,49,5,2,10.99,54.95
146,49,1,15,15.99,15.99
147,49,1,23,7.99,7.99
148,50,2,3,9.49,18.98
149,51,1,19,7.99,7.99
150,51,1,9,17.49,17.49
151,52,1,5,14.99,14.99
152,53,1,18,19.49,19.49
153,53,2,4,9.99,19.98
154,53,1,26,11.49,11.49
155,53,2,5,14.99,29.98
156,53,1,21,7.49,7.49
157,53,2,26,11.49,22.98
158,53,1,6,15.99,15.99
159,53,1,1,15.99,15.99
160,53,5,9,17.49,87.45
161,54,1,35,3.99,3.99
162,55,1,18,19.49,19.49
163,55,2,16,20.99,41.98
164,55,1,36,2.99,2.99
165,55,1,32,4.99,4.99
166,55,1,34,4.99,4.99
167,55,1,17,20.49,20.49
168,55,1,1,15.99,15.99
169,56,1,25,11.49,11.49
170,56,1,35,3.99,3.99
171,56,1,18,19.49,19.49
172,56,1,2,10.99,10.99
173,56,1,22,5.99,5.99
174,56,1,11,27.99,27.99
175,56,1,31,3.99,3.99
176,56,1,15,15.99,15.99
177,57,1,10,27.99,27.99
178,58,1,30,11.99,11.99
179,58,1,13,13.49,13.49
180,58,1,15,15.99,15.99
181,58,1,29,10.49,10.49
182,58,1,35,3.99,3.99
183,58,1,27,10.49,10.49
184,59,1,35,3.99,3.99
185,60,2,5,14.99,29.98
186,60,2,20,5.99,11.98
187,60,1,18,19.49,19.49
188,60,2,24,5.99,11.98
189,60,2,11,27.99,55.98
190,60,2,32,4.99,9.98
191,61,2,31,3.99,7.98
192,62,1,14,19.49,19.49
193,62,1,23,7.99,7.99
194,62,1,2,10.99,10.99
195,62,1,11,27.99,27.99
196,62,2,17,20.49,40.98
197,62,1,34,4.99,4.99
198,62,1,20,5.99,5.99
199,62,1,14,19.49,19.49
200,62,1,20,5.99,5.99
201,62,1,11,27.99,27.99
202,63,1,14,19.49,19.49
203,63,1,22,5.99,5.99
204,64,1,1,15.99,15.99
205,64,1,11,27.99,27.99
206,64,2,29,10.49,20.98
207,64,1,20,5.99,5.99
208,64,2,16,20.99,41.98
209,65,1,33,5.99,5.99
210,65,1,31,3.99,3.99
211,65,1,18,19.49,19.49
212,65,1,2,10.99,10.99
213,65,1,3,9.49,9.49
214,65,2,31,3.99,7.98
215,65,1,6,15.99,15.99
216,65,1,27,10.49,10.49
217,66,1,26,11.49,11.49
218,67,1,14,19.49,19.49
219,67,1,35,3.99,3.99
220,68,1,3,9.49,9.49
221,69,1,7,26.99,26.99
222,69,1,29,10.49,10.49
223,69,1,11,27.99,27.99
224,70,1,22,5.99,5.99
225,71,1,20,5.99,5.99
226,71,1,12,16.99,16.99
227,72,1,27,10.49,10.49
228,73,2,28,11.99,23.98
229,74,1,25,11.49,11.49
230,75,1,14,19.49,19.49
231,76,1,11,27.99,27.99
232,76,2,26,11.49,22.98
233,77,1,4,9.99,9.99
234,78,2,12,16.99,33.98
235,78,1,19,7.99,7.99
236,79,1,8,18.99,18.99
237,79,1,13,13.49,13.49
238,79,2,26,11.49,22.98
239,79,1,32,4.99,4.99
240,80,1,23,7.99,7.99
241,80,1,24,5.99,5.99
242,80,1,26,11.49,11.49
243,80,2,15,15.99,31.98
244,81,1,7,26.99,26.99
245,82,1,21,7.49,7.49
246,83,1,27,10.49,10.49
247,84,1,6,15.99,15.99
248,85,1,33,5.99,5.99
249,86,1,8,18.99,18.99
250,87,1,23,7.99,7.99
251,88,1,8,18.99,18.99
252,88,1,9,17.49,17.49
253,89,2,15,15.99,31.98
254,90,1,2,10.99,10.99
255,91,1,8,18.99,18.99
256,91,1,10,27.99,27.99
257,91,2,15,15.99,31.98
258,91,1,7,26.99,26.99
259,91,1,23,7.99,7.99
260,91,1,14,19.49,19.49
261,91,1,27,10.49,10.49
262,92,3,5,14.99,44.97
263,92,1,35,3.99,3.99
264,92,1,25,11.49,11.49
265,93,1,21,7.49,7.49
266,93,1,36,2.99,2.99
267,93,1,31,3.99,3.99
268,93,1,26,11.49,11.49
269,93,2,13,13.49,26.98
270,93,2,3,9.49,18.98
271,93,3,12,16.99,50.97
